Restaurant_Name,Link
Apteat,https://www.swiggy.com/restaurants/apteat-gandhipuram-coimbatore-423974
Apupa,https://www.swiggy.com/restaurants/apupa-sai-baba-colony-saibaba-colony-coimbatore-141393
ARABIAN EXPRESS,https://www.swiggy.com/restaurants/arabian-express-gandhipuram-coimbatore-436872
ARABIAN HUNT,https://www.swiggy.com/restaurants/arabian-hunt-hopes-sri-lakshmi-nagar-coimbatore-310209
ARABIAN HUNT,https://www.swiggy.com/restaurants/arabian-hunt-ramanathapuram-kallimadai-coimbatore-308740
Arabian Knights,https://www.swiggy.com/restaurants/arabian-knights-r-s-puram-coimbatore-407622
Arabic resto,https://www.swiggy.com/restaurants/arabic-resto-saravanampatti-coimbatore-432655
Arab Skew,https://www.swiggy.com/restaurants/arab-skew-saravanampatti-coimbatore-107949
Arab Tasty - The Foodie Chef,https://www.swiggy.com/restaurants/arab-tasty-the-foodie-chef-sai-baba-colony-coimbatore-200239
A.R.C Sasi's Chat & More.,https://www.swiggy.com/restaurants/a-r-c-sasis-chat-and-more-saibaba-colony-coimbatore-50877
Aroma Bakery,https://www.swiggy.com/restaurants/aroma-bakery-nehru-stadium-gopalapuram-coimbatore-64484
AROMA BAKERY,https://www.swiggy.com/restaurants/aroma-bakery-r-s-puram-coimbatore-431156
Aroma Green Tree Restaurant,https://www.swiggy.com/restaurants/aroma-green-tree-restaurant-r-s-puram-r-s-puram-west-coimbatore-291719
ARR PANTRY,https://www.swiggy.com/restaurants/arr-pantry-poorna-nagar-chinna-mettupalayam-coimbatore-338652
ARS Restaurant,https://www.swiggy.com/restaurants/ars-restaurant-hopes-karuparampalayam-pirvu-coimbatore-306583
Artic Shakes,https://www.swiggy.com/restaurants/artic-shakes-avinashi-road-masakalipalayam-coimbatore-61515
ARU NADU HOTEL,https://www.swiggy.com/restaurants/aru-nadu-hotel-gandhipuram-coimbatore-391647
Arusuvai Atchaya Chettinad Veg,https://www.swiggy.com/restaurants/arusuvai-atchaya-chettinad-veg-r-s-puram-r-s-puram-west-coimbatore-303212
Arusuvai Family Restaurant,https://www.swiggy.com/restaurants/arusuvai-family-restaurant-peelamedu-coimbatore-298534
Arya's Kitchen,https://www.swiggy.com/restaurants/aryas-kitchen-sai-baba-colony-coimbatore-396864
AS FAST FOOD,https://www.swiggy.com/restaurants/as-fast-food-gandhipuram-coimbatore-401239
Ashik fish center,https://www.swiggy.com/restaurants/ashik-fish-center-sai-baba-colony-cheran-colony-coimbatore-323544
Ashok Coconut Sharbath,https://www.swiggy.com/restaurants/ashok-coconut-sharbath-r-s-puram-r-s-puram-west-coimbatore-219546
Asiatique,https://www.swiggy.com/restaurants/asiatique-hopes-poongothai-nagar-coimbatore-218553
Attil,https://www.swiggy.com/restaurants/attil-saravanampatti-coimbatore-296083
AYYAPPA TIFFINS,https://www.swiggy.com/restaurants/ayyappa-tiffins-gandhipuram-ravindranath-layout-coimbatore-334744
Azhagar Mess,https://www.swiggy.com/restaurants/azhagar-mess-sai-baba-colony-coimbatore-379392
A - Z Palamudir Nilayam,https://www.swiggy.com/restaurants/a-z-palamudir-nilayam-gandhipuram-ram-nagar-coimbatore-99246
B2B Fried chicken,https://www.swiggy.com/restaurants/b2b-fried-chicken-sai-baba-colony-kuppakonam-pudur-coimbatore-373255
BACHELORS DELIGHT,https://www.swiggy.com/restaurants/bachelors-delight-saravanampatti-coimbatore-385962
Bai Biriyani,https://www.swiggy.com/restaurants/bai-biriyani-peelamedu-coimbatore-444001
Baker Boy,https://www.swiggy.com/restaurants/baker-boy-singanallur-stop-coimbatore-74519
Bakeroe,https://www.swiggy.com/restaurants/bakeroe-race-course-gopalapuram-coimbatore-50412
BAKER'S Zest,https://www.swiggy.com/restaurants/bakers-zest-racecourse-area-coimbatore-374838
Bakes lounge,https://www.swiggy.com/restaurants/bakes-lounge-saravanampatti-coimbatore-443151
Bakingo,https://www.swiggy.com/restaurants/bakingo-hopes-chitra-nagar-coimbatore-333124
Bakingo,https://www.swiggy.com/restaurants/bakingo-sai-baba-colony-kuppakonam-pudur-coimbatore-368337
Balle Balle,https://www.swiggy.com/restaurants/balle-balle-saibaba-colony-coimbatore-57305
Bamboo House,https://www.swiggy.com/restaurants/bamboo-house-gandhipuram-coimbatore-434796
